Date;Profile;Message;Number of Reactions;Number of Shares;Number of Comments (primary);Number of Shares;Comments per post;Comments on posts by fans;Post interaction rate;Engagement;Number of Likes;Link-posts;Picture Posts;Video-posts;Profile-ID;Post-ID;Link
5/26/23 7:02 PM;SeaWorld San Diego;"Can you feel the chill? ❄️ Arctic Rescue opens NEXT WEEK, on June 2! Who is riding in the snowmobile next to you!? ​

Pass Member dates will be announced soon, so keep an eye on our feed to make sure you don't miss the chance to be the first to ride the coaster San Diego can't stop talking about!";46.0;;5.0;9.0;8.0;8.0;5,81E+11;5,81E+11;37.0;;;1.0;4,26112E+14;426111667814056_1641898539568690;https://www.facebook.com/426111667814056/posts/1641898539568690/
5/26/23 7:00 PM;Sesame Place San Diego;We're open daily for the summer season starting TODAY! Enjoy fun with your furry friends, shows and parades, and splashy water slides every single day! There's no better time to visit the park.;55.0;;8.0;2.0;13.0;13.0;0.0034076526141563626;0.0034076526141563626;45.0;;1.0;;1,16947E+14;116946949686332_729142449221471;https://www.facebook.com/688289439973439/posts/729142449221471
5/26/23 7:00 PM;Walt Disney Studios (US);Life under the sea is better than anything they got up there!  🫧🐚 Disney's #TheLittleMermaid is NOW PLAYING!;926.0;;75.0;69.0;125.0;125.0;3,00E+11;3,00E+11;448.0;;;1.0;1,11383E+14;111382562236411_9411730752201499;https://www.facebook.com/111382562236411/posts/9411730752201499/
5/26/23 7:00 PM;Knott's Berry Farm;Summer has officially arrived at Knott's Berry Farm, and the fun is just getting started! From now until September 4th, immerse yourself in the vibrant sights and sounds of the reimagined Fiesta Village, embark on thrilling adventures with the citizens of Calico during Ghost Town Alive!, and dance the night away at Knott's Summer Nights! Grab your tickets now!  https://bit.ly/3BVuyeG;181.0;;9.0;19.0;10.0;10.0;3,30E+12;3,30E+12;155.0;;1.0;;10286130875;10286130875_10159070080845876;https://www.facebook.com/KnottsBerryFarm/photos/a.104124665875/10159070080845876/?type=3
5/26/23 6:30 PM;Silverwood Theme Park;We're baaaack...almost. Did you miss us?;140.0;;3.0;13.0;5.0;5.0;4,15E+11;4,15E+11;115.0;;1.0;;7,62702E+14;762701550509617_6124012237711828;https://www.facebook.com/silverwoodthemepark/photos/a.766557700124002/6124012237711828/?type=3
5/26/23 6:06 PM;Playland Park;Playland Pool opens TOMORROW, MAY 27! Who’s ready to make a splash this #MemorialDayWeekend #PlaylandPark;226.0;;15.0;19.0;18.0;18.0;0.005711679624723103;0.005711679624723103;197.0;;;;8119908863;8119908863_632556058916203;https://www.facebook.com/422596063245538/posts/632556058916203
5/26/23 6:01 PM;Gilroy Gardens;"Celebrate Memorial Day Weekend here at Gilroy Gardens and treat yourself to a SWEET experience with a Drink & Dessert Tasting Card🍰 .

Select up to 5 items from a delightful menu of desserts like Chocolate-Covered Strawberries or Red, White and Blue Strawberry Shortcakes and themed drinks like a Patriotic Punch or Black Cherry Lemonade! Click here to purchase yours now: https://bit.ly/3OFJ81G";13.0;;2.0;0.0;2.0;2.0;1,88E+12;1,88E+12;10.0;;1.0;;1,22944E+14;122943674395623_627270552771262;https://www.facebook.com/547581810740137/posts/627270552771262
5/26/23 6:00 PM;Walt Disney Studios (US);Watch and you'll see...wish I could be...part of that world. #TheLittleMermaid is now playing.;999.0;;51.0;27.0;113.0;113.0;3,05E+10;3,05E+10;456.0;;1.0;;1,11383E+14;111382562236411_9414969235210984;https://www.facebook.com/111382562236411/posts/9414969235210984/
5/26/23 5:57 PM;Canada's Wonderland;Hurry!! Our Season Pass sale has been extended but ONLY until June 1. In addition to all these great benefits, a Gold Pass gets you access to all our attractions, food festivals and world-class entertainment. Get yours today: https://bit.ly/43qqWgC;42.0;;3.0;10.0;3.0;3.0;6,47E+10;6,47E+10;34.0;;1.0;;95469803923;95469803923_638671501634834;https://www.facebook.com/633676285467689/posts/638671501634834
5/26/23 5:42 PM;Six Flags Discovery Kingdom;right on track headed into the weekend;72.0;;3.0;3.0;5.0;5.0;3,00E+11;3,00E+11;61.0;;1.0;;59636827742;59636827742_633480258814446;https://www.facebook.com/603103525185453/posts/633480258814446
