Date;Profile;Message;Number of Reactions;Number of Shares;Number of Comments (primary);Number of Shares;Comments per post;Comments on posts by fans;Post interaction rate;Engagement;Number of Likes;Link-posts;Picture Posts;Video-posts;Profile-ID;Post-ID;Link
12/30/23 3:30 PM;Fun Spot America;"Start your New Year with a BANG!! 🎆🧨🍾

Fireworks at Orlando and Kissimmee, both displays start at 12:00am! 

#NYE #NewYear #NewYear2024 #Fireworks #Orlando #Kissimmee #Florida";25.0;;3.0;4.0;6.0;6.0;3,56E+09;3,56E+09;22.0;;;;1,8402E+11;184020466977_766523955513619;https://www.facebook.com/653224623510220/posts/766523955513619
12/30/23 3:01 PM;Busch Gardens Tampa Bay;Just tracking progress. 🎢👀;1149.0;;57.0;95.0;111.0;111.0;0.0020054316858206358;0.0020054316858206358;942.0;;1.0;;68181225238;68181225238_755138906644749;https://www.facebook.com/638736908284950/posts/755138906644749
12/30/23 1:47 PM;Happy Hollow Park & Zoo;There's a ton of fun scheduled for Noon Year's Eve! Check out all of the shows and activities that you'll get to enjoy on Sunday, Dec. 31 🗓️ Danny and the whole Happy Hollow team are excited to celebrate with you tomorrow! 🎉🐲🎊;9.0;;0.0;1.0;0.0;0.0;2,53E+10;2,53E+10;6.0;;1.0;;1,32943E+11;132942835175_753420093481495;https://www.facebook.com/328743942615781/posts/753420093481495
12/30/23 12:50 PM;Playland;"Fala pra gente!?

Você gosta mais das atrações emocionantes!? 🤩
Ou gosta mais de curtir as atrações tranquilas!?

Aqui no Playland toda a família entra na brincadeira, com atrações que encantam as crianças e divertem até os adultos.

- Aproveite descontos e promoções imperdíveis no Playmania (o e-commerce do Play) e garanta seus créditos para brincar com muita comodidade e segurança.

.
.
.
#GrupoPlaycenter #Playland #PlaylandOficial #Parque #ParqueDeDiversoes #ParqueDeDiversao #ParqueTematico #SPParaCriancas #TurismoSP #SaoPaulo #CidadeDeSaoPaulo #PasseioKids #Dicas #PasseioComCriancas #Diversao #Lazer #Criancas #OQueFazerEmSP #OQueFazerEmSaoPaulo #Diversao #Salvador #Arcade #ShoppingCenterNorte #ShoppingEldorado #GrandPlazaShopping #ShoppingInterlagos #ShoppingUniaoDeOsasco #ShoppingDaBahia #ShoppingMetroTatuape";2.0;;1.0;0.0;1.0;1.0;9,28E+09;9,28E+09;2.0;;1.0;;1,70866E+14;170865866397863_686166210307816;https://www.facebook.com/550220310569074/posts/686166210307816
12/30/23 12:08 PM;Canada's Wonderland;Crank up the thrill-o-metre at WinterFest with our 23 rides! 🎢❄️ Which ride will be your go-to? Get your tickets today: https://bit.ly/47iRtxZ 🌟🎟️;41.0;;9.0;4.0;10.0;10.0;6,44E+10;6,44E+10;38.0;;1.0;;95469803923;95469803923_774444481390868;https://www.facebook.com/633676285467689/posts/774444481390868
12/30/23 10:01 AM;Disneyland Paris;De hoogtepunten van 2023 in Disneyland Paris! Was jij erbij? 😍;327.0;;56.0;21.0;59.0;59.0;7,77E+10;7,77E+10;236.0;;;;6,52389E+14;652389081615295_775125487989526;https://www.facebook.com/724434559725286/posts/775125487989526
12/30/23 5:20 AM;Sea Life Park;"The Grand Finale is approaching! This is your last opportunity to experience the enchantment of our Holiday Luau 🎄✨ Join us for a spectacular farewell to the festive season, filled with mesmerizing performances, meet and greets with Santa and unforgettable memories. Secure your spot now!

https://www.sealifeparkhawaii.com/discover-sea-life-park/plan-your-visit/things-to-do/luau/holiday-luau";9.0;;0.0;0.0;0.0;0.0;3,39E+11;3,39E+11;7.0;;1.0;;1,05016E+14;105015532870022_696607742572423;https://www.facebook.com/512254014341131/posts/696607742572423
12/30/23 1:59 AM;Wild Adventures Theme Park;"What's the best way to ring in the new year?  With free oil changes for life!

Thank you to our Wild Adventures LIVE! official sponsor, TKO Valdosta Nissan and Mitsubishi! Be sure to check out the new and pre-owned vehicles stationed throughout the park so you can start the new year off the right way!
🚗🎢";7.0;;0.0;0.0;0.0;0.0;3,80E+11;3,80E+11;6.0;;;1.0;84679583132;84679583132_769072775265907;https://www.facebook.com/617429960430190/posts/769072775265907
12/30/23 1:05 AM;LEGOLAND California;Good news, parents. There are lots of places to rest after a busy day at Holidays at LEGOLAND. We’re pretty sure you’ll get your 10,000 steps in, so why don’t you sit for a bit? You’ve earned it. 🤗;50.0;;2.0;2.0;6.0;6.0;8,88E+10;8,88E+10;48.0;;1.0;;1,43631E+14;143631389003522_765838135582450;https://www.facebook.com/665808788918719/posts/765838135582450
12/30/23 1:03 AM;Six Flags Great Adventure;Did we mention the lights? 🤗;126.0;;5.0;3.0;6.0;6.0;1,20E+12;1,20E+12;106.0;;1.0;;69421318512;69421318512_749241383905198;https://www.facebook.com/630574765771861/posts/749241383905198
12/30/23 1:00 AM;Pacific Park;Brace yourself for an unforgettable free fall with Pacific Plunge at Pacific Park! 🌊✨ Soar 90 feet above Santa Monica Bay, savoring an exhilarating moment of weightlessness, then take the thrilling plunge back to the Pier deck. Ready for the ultimate drop tower experience? 🎢;11.0;;0.0;1.0;0.0;0.0;2,14E+12;2,14E+12;9.0;;1.0;;61119627598;61119627598_749208403921574;https://www.facebook.com/562953045880445/posts/749208403921574
12/29/23 11:55 PM;Kings Island;"🎁 Let the gift-giving continue! Get unlimited visits all of 2024 with a Gold Pass -it pays for itself in less than 2 visits! HURRY! The price goes up Dec. 31.

🛒 BUY NOW: https://bit.ly/4aBFtu2";40.0;;0.0;4.0;0.0;0.0;6,43E+09;6,43E+09;31.0;;1.0;;1,55894E+11;155893938367_766206525547038;https://www.facebook.com/644500607717631/posts/766206525547038
12/29/23 11:14 PM;Happy Hollow Park & Zoo;It's that time again! Members get an extra hour in the park on Saturday, Jan. 6. Get early access to the playground and Zoo in the Hollow. This month only, Happy Hollow members who attend the event can enter for a chance to win a membership extension! Save the date on your calendar 🗓️;8.0;;0.0;0.0;0.0;0.0;2,03E+12;2,03E+12;7.0;;1.0;;1,32943E+11;132942835175_753110960179075;https://www.facebook.com/328743942615781/posts/753110960179075
12/29/23 10:53 PM;Wild Adventures Theme Park;"Why purchase a 2024 Season Pass? The entire family can enjoy a whole season of fun and benefits like Free Parking, Unlimited Soda, Free Concerts, and so much MORE!

Plus, when you purchase before January 1, you can save up to $35 per Season Pass! What are you waiting for? Grab your 2024 Season Passes before the prices go up. https://bit.ly/3WlSO2S";11.0;;2.0;1.0;5.0;5.0;9,24E+10;9,24E+10;10.0;;1.0;;84679583132;84679583132_769007851939066;https://www.facebook.com/617429960430190/posts/769007851939066
12/29/23 10:44 PM;Six Flags Over Georgia & Hurricane Harbor;"There are only 5 DAYS LEFT before we close for the season - so make sure to get those last minute thrills in. The final day of the season is Wednesday, January 3! 🎢

🕚 Park Hours:
Saturday - Wednesday: 2:00pm - 8:00pm
☃️ Learn more about Holiday in the Park at https://6fla.gs/SFOGHIP
📸 Shoutout to amusementhunterphotography on IG for the photo of Dare Devil Dive!

#sixflagsovergeorgia #sixflags #atlanta #themeparks #daredevildive";60.0;;9.0;2.0;21.0;21.0;1,70E+12;1,70E+12;49.0;;1.0;;34284255238;34284255238_752530853576546;https://www.facebook.com/596219355874364/posts/752530853576546
12/29/23 9:53 PM;Elitch Gardens;"Just 3 nights left for Luminova Holidays! ✨ Hurry, catch the magic before it melts away! ☃️

Tickets only $24.99/each online at ElitchGardens.com! 🎫";53.0;;10.0;1.0;14.0;14.0;4,59E+12;4,59E+12;48.0;;1.0;;62242807350;62242807350_751265380373089;https://www.facebook.com/547583224074640/posts/751265380373089
12/29/23 9:24 PM;Belmont Park;"The best venue in the world 🌴

But we may be biased 🤷‍♀️ 

@camelphatmusic presented by @fngrscrssd returns to our sandy stage THIS SATURDAY, 12/30! Kick off your NYE festivities on the sand with us!🎶🪩

Friendly reminder this event is 21+. Tap the link in @beachhousesd’s bio to purchase tickets + view more information. See you there! 👋";13.0;;0.0;0.0;0.0;0.0;2,57E+11;2,57E+11;13.0;;1.0;;83231004302;83231004302_766141475549918;https://www.facebook.com/632506952246705/posts/766141475549918
